,Study_name,Respondent_Name,Gender,Age,Group,Type,Label,Start,Duration,ParentStimulus,Parent_Stimulus_Start,Parent_Stimulus_Duration,Hit_time_G,Time_spent_G,Time_spent_G_Percentage,Respondent_ratio_G,Revisit_G_Revisitors,Revisit_G_Visitors,Revisit_G_Revisits,TTFF_F,Time_spent_F,Time_spent_F_Percentage,Revisit_F_Revisitors,Revisit_F_Visitors,Revisit_F_Revisits,Fixations_Count,First_Fixation_Duration,Average_Fixations_Duration,Mouse_Clicks
14,ECG Study,Resident,MALE,0,resident,Static AOI,V3 NSR,178603,30068,Normal sinus rhythm,178603,30068,9375,1683,6,1,1,1,8,9415,483,2,1,1,10,19,67,25,0
15,ECG Study,Resident,MALE,0,resident,Static AOI,V6 NSR,178603,30068,Normal sinus rhythm,178603,30068,16625,550,2,1,1,1,2,16597,200,1,1,1,4,6,50,33,0
16,ECG Study,Resident,MALE,0,resident,Static AOI,Information NSR,178603,30068,Normal sinus rhythm,178603,30068,26125,50,0,1,0,1,0,26264,17,0,0,1,0,1,17,17,0
17,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 NSR,178603,30068,Normal sinus rhythm,178603,30068,26875,417,1,1,0,1,0,13564,67,0,1,1,4,4,17,17,0
18,ECG Study,Resident,MALE,0,resident,Static AOI,V3-3 NSR,178603,30068,Normal sinus rhythm,178603,30068,16375,383,1,1,1,1,2,16114,150,0,1,1,4,5,17,30,0
19,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 NSR,178603,30068,Normal sinus rhythm,178603,30068,30125,67,0,1,0,0,0,18531,17,0,0,1,0,1,17,17,0
20,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 NSR,178603,30068,Normal sinus rhythm,178603,30068,7125,1783,6,1,1,1,2,6964,801,3,1,1,6,23,17,35,0
21,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 NSR,178603,30068,Normal sinus rhythm,178603,30068,7875,1350,4,1,1,1,2,7631,450,1,1,1,4,17,66,26,0
22,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 NSR,178603,30068,Normal sinus rhythm,178603,30068,8875,1250,4,1,1,1,2,8147,533,2,1,1,4,17,17,31,0
23,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 NSR,178603,30068,Normal sinus rhythm,178603,30068,20375,1316,4,1,1,1,3,7531,267,1,1,1,6,12,17,22,0
24,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 NSR,178603,30068,Normal sinus rhythm,178603,30068,125,217,1,1,0,1,0,98,67,0,1,1,2,3,33,22,0
25,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 NSR,178603,30068,Normal sinus rhythm,178603,30068,24875,367,1,1,0,1,0,8798,150,1,1,1,4,8,17,19,0
26,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial fibrillation,309389,30054,,,,,,,,,,,,,,,,,,,,
27,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 AFib,309389,30054,Atrial fibrillation,309389,30054,7625,6896,23,1,1,1,4,7418,2300,8,1,1,25,78,16,29,0
28,ECG Study,Resident,MALE,0,resident,Static AOI,1 AFib,309389,30054,Atrial fibrillation,309389,30054,1125,1849,6,1,1,1,2,802,983,3,1,1,5,24,66,41,0
29,ECG Study,Resident,MALE,0,resident,Static AOI,aVR AFib,309389,30054,Atrial fibrillation,309389,30054,2375,1932,6,1,1,1,2,1968,1016,3,1,1,4,33,33,31,0
30,ECG Study,Resident,MALE,0,resident,Static AOI,V1 AFib,309389,30054,Atrial fibrillation,309389,30054,-1,0,0,0,0,0,0,30034,0,0,0,0,0,0,-1,-1,0
31,ECG Study,Resident,MALE,0,resident,Static AOI,V4 AFib,309389,30054,Atrial fibrillation,309389,30054,-1,0,0,0,0,0,0,30034,0,0,0,0,0,0,-1,-1,0
32,ECG Study,Resident,MALE,0,resident,Static AOI,2 AFib,309389,30054,Atrial fibrillation,309389,30054,625,3798,13,1,1,1,4,535,1516,5,1,1,12,48,100,32,0
33,ECG Study,Resident,MALE,0,resident,Static AOI,aVL AFib,309389,30054,Atrial fibrillation,309389,30054,6625,783,3,1,0,1,0,369,450,1,1,1,3,11,17,41,0
34,ECG Study,Resident,MALE,0,resident,Static AOI,V2 AFib,309389,30054,Atrial fibrillation,309389,30054,-1,0,0,0,0,0,0,30034,0,0,0,0,0,0,-1,-1,0
35,ECG Study,Resident,MALE,0,resident,Static AOI,V5 AFib,309389,30054,Atrial fibrillation,309389,30054,-1,0,0,0,0,0,0,30034,0,0,0,0,0,0,-1,-1,0
36,ECG Study,Resident,MALE,0,resident,Static AOI,3 AFib,309389,30054,Atrial fibrillation,309389,30054,16125,150,0,1,0,1,0,30034,0,0,0,0,0,0,-1,-1,0
37,ECG Study,Resident,MALE,0,resident,Static AOI,aVF AFib,309389,30054,Atrial fibrillation,309389,30054,30125,50,0,1,0,0,0,30034,0,0,0,0,0,0,-1,-1,0
38,ECG Study,Resident,MALE,0,resident,Static AOI,V3 AFib,309389,30054,Atrial fibrillation,309389,30054,16125,183,1,1,0,1,0,16034,50,0,0,1,0,1,50,50,0
39,ECG Study,Resident,MALE,0,resident,Static AOI,V6 AFib,309389,30054,Atrial fibrillation,309389,30054,15875,250,1,1,0,1,0,15768,183,1,0,1,0,2,50,92,0
40,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 AFib,309389,30054,Atrial fibrillation,309389,30054,125,6546,22,1,1,1,6,102,2268,8,1,1,21,75,33,30,0
41,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 AFib,309389,30054,Atrial fibrillation,309389,30054,13125,2332,8,1,1,1,2,11917,785,3,1,1,9,31,17,25,0
42,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 AFib,309389,30054,Atrial fibrillation,309389,30054,14125,1749,6,1,0,1,0,13918,1033,3,1,1,3,22,83,47,0
43,ECG Study,Resident,MALE,0,resident,Stimulus,hyperkalemia,72977,30080,,,,,,,,,,,,,,,,,,,,
44,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,5375,2751,9,1,1,1,4,4655,767,3,1,1,4,23,17,33,0
45,ECG Study,Resident,MALE,0,resident,Static AOI,1 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,875,1484,5,1,1,1,3,822,600,2,1,1,4,21,50,29,0
46,ECG Study,Resident,MALE,0,resident,Static AOI,aVR Hyperkalemia,72977,30080,hyperkalemia,72977,30080,3625,884,3,1,1,1,2,1972,316,1,1,1,7,13,16,24,0
47,ECG Study,Resident,MALE,0,resident,Static AOI,V1 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,12625,1050,3,1,1,1,3,12638,518,2,1,1,3,13,17,40,0
48,ECG Study,Resident,MALE,0,resident,Static AOI,V4 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,12375,1484,5,1,1,1,3,12471,999,3,1,1,3,15,67,67,0
49,ECG Study,Resident,MALE,0,resident,Static AOI,2 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,625,2601,9,1,1,1,5,39,1232,4,1,1,7,38,33,32,0
50,ECG Study,Resident,MALE,0,resident,Static AOI,aVL Hyperkalemia,72977,30080,hyperkalemia,72977,30080,375,1934,6,1,1,1,4,422,766,3,1,1,9,21,17,36,0
51,ECG Study,Resident,MALE,0,resident,Static AOI,V2 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,12125,583,2,1,1,1,3,12222,233,1,1,1,4,6,16,39,0
52,ECG Study,Resident,MALE,0,resident,Static AOI,V5 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,15625,1734,6,1,1,1,3,15755,1067,4,1,1,6,21,17,51,0
53,ECG Study,Resident,MALE,0,resident,Static AOI,3 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,9875,633,2,1,1,1,2,9872,267,1,1,1,2,9,100,30,0
54,ECG Study,Resident,MALE,0,resident,Static AOI,aVF Hyperkalemia,72977,30080,hyperkalemia,72977,30080,8625,1284,4,1,1,1,4,2005,333,1,1,1,10,18,17,18,0
55,ECG Study,Resident,MALE,0,resident,Static AOI,V3 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,13375,1067,4,1,1,1,3,13122,766,3,1,1,3,11,83,70,0
56,ECG Study,Resident,MALE,0,resident,Static AOI,V6 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,18875,300,1,1,0,1,0,18738,167,1,0,1,0,4,33,42,0
57,ECG Study,Resident,MALE,0,resident,Static AOI,V4R Hyperkalemia,72977,30080,hyperkalemia,72977,30080,30125,200,1,1,0,0,0,24264,17,0,0,1,0,1,17,17,0
58,ECG Study,Resident,MALE,0,resident,Static AOI,V3R Hyperkalemia,72977,30080,hyperkalemia,72977,30080,21125,400,1,1,1,1,3,6071,33,0,1,1,2,2,17,17,0
59,ECG Study,Resident,MALE,0,resident,Static AOI,V7 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,15375,600,2,1,1,1,2,6555,350,1,1,1,3,6,16,58,0
60,ECG Study,Resident,MALE,0,resident,Static AOI,V8 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,19375,583,2,1,0,1,0,19138,367,1,1,1,2,7,67,52,0
61,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,4375,2167,7,1,1,1,7,4338,616,2,1,1,9,24,33,26,0
62,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,6625,4118,14,1,1,1,5,6388,1316,4,1,1,10,48,16,27,0
63,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 Hyperkalemia,72977,30080,hyperkalemia,72977,30080,7125,2134,7,1,1,1,4,6922,868,3,1,1,6,27,17,32,0
64,ECG Study,Resident,MALE,0,resident,Stimulus,Atrial flutter,344069,30076,,,,,,,,,,,,,,,,,,,,
65,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 AFlutter,344069,30076,Atrial flutter,344069,30076,9625,2082,7,1,1,1,9,9556,735,2,1,1,13,26,67,28,0
66,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 AFlutter,344069,30076,Atrial flutter,344069,30076,11625,2998,10,1,1,1,8,11355,1349,4,1,1,11,39,34,35,0
67,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 AFlutter,344069,30076,Atrial flutter,344069,30076,17375,333,1,1,0,1,0,1306,149,0,1,1,3,7,17,21,0
68,ECG Study,Resident,MALE,0,resident,Static AOI,1 AFlutter,344069,30076,Atrial flutter,344069,30076,2875,366,1,1,1,1,2,3022,117,0,1,1,2,4,17,29,0
69,ECG Study,Resident,MALE,0,resident,Static AOI,aVR AFlutter,344069,30076,Atrial flutter,344069,30076,4125,1433,5,1,1,1,2,3721,667,2,1,1,3,17,17,39,0
70,ECG Study,Resident,MALE,0,resident,Static AOI,V1 short AFlutter,344069,30076,Atrial flutter,344069,30076,5125,999,3,1,1,1,2,4822,517,2,1,1,5,15,17,34,0
71,ECG Study,Resident,MALE,0,resident,Static AOI,V4 AFlutter,344069,30076,Atrial flutter,344069,30076,30125,200,1,1,0,0,0,5489,117,0,1,1,4,5,16,23,0
72,ECG Study,Resident,MALE,0,resident,Static AOI,2 AFlutter,344069,30076,Atrial flutter,344069,30076,625,1649,5,1,1,1,3,589,682,2,1,1,5,15,33,45,0
73,ECG Study,Resident,MALE,0,resident,Static AOI,aVL AFlutter,344069,30076,Atrial flutter,344069,30076,6625,200,1,1,1,1,2,556,50,0,1,1,2,3,17,17,0
74,ECG Study,Resident,MALE,0,resident,Static AOI,V2 AFlutter,344069,30076,Atrial flutter,344069,30076,6125,550,2,1,1,1,3,4972,282,1,1,1,5,8,17,35,0
75,ECG Study,Resident,MALE,0,resident,Static AOI,V5 short AFlutter,344069,30076,Atrial flutter,344069,30076,6125,750,2,1,1,1,3,7539,251,1,1,1,3,7,51,36,0
76,ECG Study,Resident,MALE,0,resident,Static AOI,3 AFlutter,344069,30076,Atrial flutter,344069,30076,1375,366,1,1,1,1,2,1356,100,0,1,1,3,6,17,17,0
77,ECG Study,Resident,MALE,0,resident,Static AOI,aVF AFlutter,344069,30076,Atrial flutter,344069,30076,875,516,2,1,1,1,3,389,117,0,1,1,5,6,17,19,0
78,ECG Study,Resident,MALE,0,resident,Static AOI,V3 AFlutter,344069,30076,Atrial flutter,344069,30076,6375,500,2,1,1,1,2,6189,284,1,1,1,5,10,33,28,0
79,ECG Study,Resident,MALE,0,resident,Static AOI,V6 AFlutter,344069,30076,Atrial flutter,344069,30076,7375,500,2,1,1,1,2,7306,266,1,1,1,2,7,83,38,0
80,ECG Study,Resident,MALE,0,resident,Static AOI,Information AFlutter,344069,30076,Atrial flutter,344069,30076,30125,17,0,1,0,0,0,30051,0,0,0,0,0,0,-1,-1,0
81,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 AFlutter,344069,30076,Atrial flutter,344069,30076,375,850,3,1,1,1,3,289,384,1,1,1,7,13,17,30,0
82,ECG Study,Resident,MALE,0,resident,Static AOI,V1-3 AFlutter,344069,30076,Atrial flutter,344069,30076,7125,133,0,1,0,1,0,7039,100,0,0,1,0,3,33,33,0
83,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 AFlutter,344069,30076,Atrial flutter,344069,30076,30125,67,0,1,0,0,0,30051,0,0,0,0,0,0,-1,-1,0
84,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 AFlutter,344069,30076,Atrial flutter,344069,30076,13125,5380,18,1,1,1,15,12705,2001,7,1,1,30,66,67,30,0
85,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 AFlutter,344069,30076,Atrial flutter,344069,30076,14875,1216,4,1,1,1,5,14605,317,1,1,1,6,14,33,23,0
86,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 AFlutter,344069,30076,Atrial flutter,344069,30076,15875,1366,5,1,1,1,6,15872,316,1,1,1,7,13,16,24,0
87,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 AFlutter,344069,30076,Atrial flutter,344069,30076,9375,2232,7,1,1,1,8,39,599,2,1,1,16,25,17,24,0
88,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 AFlutter,344069,30076,Atrial flutter,344069,30076,9125,783,3,1,1,1,4,9155,234,1,1,1,5,5,133,47,0
89,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 AFlutter,344069,30076,Atrial flutter,344069,30076,9125,400,1,1,1,1,2,19255,83,0,1,1,4,4,17,21,0
90,ECG Study,Resident,MALE,0,resident,Stimulus,Ventricular tachycardia,142576,30066,,,,,,,,,,,,,,,,,,,,
91,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 VTach,142576,30066,Ventricular tachycardia,142576,30066,5625,1183,4,1,1,1,3,5660,283,1,1,1,4,12,17,24,0
92,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 VTach,142576,30066,Ventricular tachycardia,142576,30066,6125,1616,5,1,1,1,3,6110,500,2,1,1,8,20,49,25,0
93,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 VTach,142576,30066,Ventricular tachycardia,142576,30066,6375,483,2,1,1,1,3,6343,200,1,1,1,3,8,16,25,0
94,ECG Study,Resident,MALE,0,resident,Static AOI,1 VTach,142576,30066,Ventricular tachycardia,142576,30066,875,716,2,1,1,1,3,810,167,1,1,1,6,8,17,21,0
95,ECG Study,Resident,MALE,0,resident,Static AOI,aVR VTach,142576,30066,Ventricular tachycardia,142576,30066,1875,500,2,1,1,1,2,1943,134,0,1,1,2,6,17,22,0
96,ECG Study,Resident,MALE,0,resident,Static AOI,V1 VTach,142576,30066,Ventricular tachycardia,142576,30066,14375,3148,10,1,1,1,5,13576,967,3,1,1,14,43,50,22,0
97,ECG Study,Resident,MALE,0,resident,Static AOI,V4 VTach,142576,30066,Ventricular tachycardia,142576,30066,21375,866,3,1,1,1,2,21359,367,1,1,1,2,7,117,52,0
98,ECG Study,Resident,MALE,0,resident,Static AOI,2 VTach,142576,30066,Ventricular tachycardia,142576,30066,625,2848,9,1,1,1,4,460,1099,4,1,1,11,38,34,29,0
99,ECG Study,Resident,MALE,0,resident,Static AOI,aVL VTach,142576,30066,Ventricular tachycardia,142576,30066,125,1016,3,1,1,1,4,111,283,1,1,1,10,15,17,19,0
100,ECG Study,Resident,MALE,0,resident,Static AOI,V2 VTach,142576,30066,Ventricular tachycardia,142576,30066,12875,3065,10,1,1,1,9,12743,1299,4,1,1,19,45,17,29,0
101,ECG Study,Resident,MALE,0,resident,Static AOI,V5 VTach,142576,30066,Ventricular tachycardia,142576,30066,13125,1283,4,1,1,1,3,13043,433,1,1,1,6,20,17,22,0
102,ECG Study,Resident,MALE,0,resident,Static AOI,3 VTach,142576,30066,Ventricular tachycardia,142576,30066,3125,516,2,1,1,1,2,627,83,0,1,1,4,4,17,21,0
103,ECG Study,Resident,MALE,0,resident,Static AOI,aVF VTach,142576,30066,Ventricular tachycardia,142576,30066,125,1299,4,1,1,1,4,61,383,1,1,1,7,13,17,29,0
104,ECG Study,Resident,MALE,0,resident,Static AOI,V3 VTach,142576,30066,Ventricular tachycardia,142576,30066,12375,3814,13,1,1,1,10,11977,1550,5,1,1,13,52,17,30,0
105,ECG Study,Resident,MALE,0,resident,Static AOI,V6 VTach,142576,30066,Ventricular tachycardia,142576,30066,15125,700,2,1,1,1,2,15026,317,1,1,1,2,10,34,32,0
106,ECG Study,Resident,MALE,0,resident,Static AOI,Information VTach,142576,30066,Ventricular tachycardia,142576,30066,30125,33,0,1,0,0,0,30049,0,0,0,0,0,0,-1,-1,0
107,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 VTach,142576,30066,Ventricular tachycardia,142576,30066,11125,283,1,1,0,1,0,11010,83,0,0,1,0,4,17,21,0
108,ECG Study,Resident,MALE,0,resident,Static AOI,V1-3 VTach,142576,30066,Ventricular tachycardia,142576,30066,10375,1982,7,1,1,1,3,9894,1016,3,1,1,7,27,17,38,0
109,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 VTach,142576,30066,Ventricular tachycardia,142576,30066,-1,0,0,0,0,0,0,30049,0,0,0,0,0,0,-1,-1,0
110,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 VTach,142576,30066,Ventricular tachycardia,142576,30066,7875,750,2,1,0,1,0,7593,184,1,1,1,5,7,50,26,0
111,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 VTach,142576,30066,Ventricular tachycardia,142576,30066,8625,2165,7,1,1,1,5,8493,717,2,1,1,9,28,17,26,0
112,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 VTach,142576,30066,Ventricular tachycardia,142576,30066,9375,217,1,1,0,1,0,8676,67,0,1,1,2,4,17,17,0
113,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 VTach,142576,30066,Ventricular tachycardia,142576,30066,8125,333,1,1,1,1,2,8360,67,0,1,1,3,4,17,17,0
114,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 VTach,142576,30066,Ventricular tachycardia,142576,30066,9625,366,1,1,1,1,2,8977,166,1,1,1,5,9,16,18,0
115,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 VTach,142576,30066,Ventricular tachycardia,142576,30066,-1,0,0,0,0,0,0,30049,0,0,0,0,0,0,-1,-1,0
116,ECG Study,Resident,MALE,0,resident,Stimulus,Wolf Parkinson White syndrome,36064,30139,,,,,,,,,,,,,,,,,,,,
117,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,13375,750,2,1,1,1,2,13052,267,1,1,1,5,11,17,24,0
118,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,12875,1316,4,1,1,1,3,13668,416,1,1,1,4,16,17,26,0
119,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,4875,783,3,1,1,1,2,12203,283,1,1,1,4,10,50,28,0
120,ECG Study,Resident,MALE,0,resident,Static AOI,1 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,875,2449,8,1,1,1,3,536,1099,4,1,1,6,33,117,33,0
121,ECG Study,Resident,MALE,0,resident,Static AOI,aVR WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,7125,433,1,1,1,1,2,6286,200,1,1,1,4,6,17,33,0
122,ECG Study,Resident,MALE,0,resident,Static AOI,V1 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,7875,1049,3,1,1,1,2,7853,650,2,1,1,3,10,50,65,0
123,ECG Study,Resident,MALE,0,resident,Static AOI,V4 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,8375,866,3,1,1,1,2,8386,433,1,1,1,2,11,16,39,0
124,ECG Study,Resident,MALE,0,resident,Static AOI,2 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,2375,3048,10,1,1,1,5,2186,1032,3,1,1,10,35,33,29,0
125,ECG Study,Resident,MALE,0,resident,Static AOI,aVL WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,3625,416,1,1,0,1,0,3453,100,0,0,1,0,3,17,33,0
126,ECG Study,Resident,MALE,0,resident,Static AOI,V2 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,4125,1449,5,1,1,1,8,4236,617,2,1,1,11,16,16,39,0
127,ECG Study,Resident,MALE,0,resident,Static AOI,V5 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,4375,683,2,1,1,1,3,4419,217,1,1,1,5,10,17,22,0
128,ECG Study,Resident,MALE,0,resident,Static AOI,3 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,5125,1749,6,1,1,1,4,2069,650,2,1,1,10,28,17,23,0
129,ECG Study,Resident,MALE,0,resident,Static AOI,aVF WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,375,2782,9,1,1,1,10,419,967,3,1,1,14,38,17,25,0
130,ECG Study,Resident,MALE,0,resident,Static AOI,V3 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,5875,1549,5,1,1,1,6,5986,633,2,1,1,9,14,33,45,0
131,ECG Study,Resident,MALE,0,resident,Static AOI,V6 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,10125,450,1,1,1,1,2,10119,283,1,1,1,2,6,34,47,0
132,ECG Study,Resident,MALE,0,resident,Static AOI,V1-2 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,11875,333,1,1,0,1,0,11919,167,1,1,1,2,4,17,42,0
133,ECG Study,Resident,MALE,0,resident,Static AOI,V1-3 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,18625,466,2,1,1,1,2,18702,33,0,1,1,2,2,17,17,0
134,ECG Study,Resident,MALE,0,resident,Static AOI,V1-4 long WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,11625,233,1,1,0,1,0,11603,217,1,0,1,0,4,17,54,0
135,ECG Study,Resident,MALE,0,resident,Static AOI,II-2 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,125,1965,7,1,1,1,5,20,566,2,1,1,8,21,16,27,0
136,ECG Study,Resident,MALE,0,resident,Static AOI,II-3 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,16875,683,2,1,1,1,3,16768,166,1,1,1,6,7,17,24,0
137,ECG Study,Resident,MALE,0,resident,Static AOI,II-4 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,17625,1866,6,1,1,1,2,16802,1184,4,1,1,5,23,50,51,0
138,ECG Study,Resident,MALE,0,resident,Static AOI,V5-2 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,26375,316,1,1,0,1,0,14118,100,0,1,1,2,3,17,33,0
139,ECG Study,Resident,MALE,0,resident,Static AOI,V5-3 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,25875,150,0,1,0,1,0,30116,0,0,0,0,0,0,-1,-1,0
140,ECG Study,Resident,MALE,0,resident,Static AOI,V5-4 WPW,36064,30139,Wolf Parkinson White syndrome,36064,30139,19125,283,1,1,1,1,2,18552,83,0,1,1,3,4,17,21,0
141,ECG Study,Resident,MALE,0,resident,Stimulus,Ventricular paced rhythm,214225,30056,,,,,,,,,,,,,,,,,,,,
142,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 VentPaced,214225,30056,Ventricular paced rhythm,214225,30056,13375,100,0,1,0,1,0,13448,17,0,0,1,0,1,17,17,0
143,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 VentPaced,214225,30056,Ventricular paced rhythm,214225,30056,13875,1333,4,1,0,1,0,13314,466,2,1,1,4,22,33,21,0
